index,filename,source_relative_path,file_ext,mime_type,file_size_kb,status,warnings,quality_status,quality_score,quality_issues,ocr_success,ocr_confidence,ocr_text_length,ocr_text_quality_status,ocr_text_quality_score,ocr_source,best_ocr_variant,best_psm,medical_ok,relevance_score,document_type,document_type_confidence,common_field_count,lab_result_count,patient_name_found,date_found,age_found,sex_found,doctor_found,text_relative_path,json_relative_path,source_preview
1,-2147483648_-210193.jpg,samples/selected samples/-2147483648_-210193.jpg,.jpg,image/jpeg,77.79,needs_manual_review,missing_or_weak_common_fields,good_quality,0.633,too_bright;possible_rotation_or_sideways,True,0.374,1475,good_text,0.639,image_ocr_variants,light_sharpen,11.0,True,1.0,lab,0.4,0,11,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0001_-2147483648_-210193.txt,notebook_outputs/selected_samples_v6/json/0001_-2147483648_-210193.json,notebook_outputs/selected_samples_v6/source_previews/0001_-2147483648_-210193.png
2,-2147483648_-210195.jpg,samples/selected samples/-2147483648_-210195.jpg,.jpg,image/jpeg,42.0,partial_extraction,no_lab_rows_extracted,good_quality,0.612,too_bright;possible_rotation_or_sideways,True,0.628,424,usable_noisy_text,0.315,image_ocr_variants,light_autocontrast,11.0,True,1.0,lab,0.6,1,0,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0002_-2147483648_-210195.txt,notebook_outputs/selected_samples_v6/json/0002_-2147483648_-210195.json,notebook_outputs/selected_samples_v6/source_previews/0002_-2147483648_-210195.png
3,0014161672_14041209_O_00404121721.pdf,samples/selected samples/0014161672_14041209_O_00404121721.pdf,.pdf,application/pdf,44.22,extracted_good,,pdf_quality_not_assessed_here,,,True,0.95,960,good_text,0.819,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.8,7,22,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0003_0014161672_14041209_O_00404121721.txt,notebook_outputs/selected_samples_v6/json/0003_0014161672_14041209_O_00404121721.json,notebook_outputs/selected_samples_v6/source_previews/0003_0014161672_14041209_O_00404121721.png
4,0020139871_14041209_O_00404121714.pdf,samples/selected samples/0020139871_14041209_O_00404121714.pdf,.pdf,application/pdf,41.35,extracted_good,,pdf_quality_not_assessed_here,,,True,0.95,492,good_text,0.573,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.6,7,4,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0004_0020139871_14041209_O_00404121714.txt,notebook_outputs/selected_samples_v6/json/0004_0020139871_14041209_O_00404121714.json,notebook_outputs/selected_samples_v6/source_previews/0004_0020139871_14041209_O_00404121714.png
5,0021858845_14041209_O_00404121731.pdf,samples/selected samples/0021858845_14041209_O_00404121731.pdf,.pdf,application/pdf,42.88,extracted_good,,pdf_quality_not_assessed_here,,,True,0.95,768,good_text,0.763,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.6,7,17,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0005_0021858845_14041209_O_00404121731.txt,notebook_outputs/selected_samples_v6/json/0005_0021858845_14041209_O_00404121731.json,notebook_outputs/selected_samples_v6/source_previews/0005_0021858845_14041209_O_00404121731.png
6,0023471026_14041209_O_00404121728.pdf,samples/selected samples/0023471026_14041209_O_00404121728.pdf,.pdf,application/pdf,40.79,needs_manual_review,low_structured_data,pdf_quality_not_assessed_here,,,True,0.95,406,usable_noisy_text,0.434,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.6,7,2,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0006_0023471026_14041209_O_00404121728.txt,notebook_outputs/selected_samples_v6/json/0006_0023471026_14041209_O_00404121728.json,notebook_outputs/selected_samples_v6/source_previews/0006_0023471026_14041209_O_00404121728.png
7,0024150010_14041209_O_00404121722.pdf,samples/selected samples/0024150010_14041209_O_00404121722.pdf,.pdf,application/pdf,44.13,extracted_good,,pdf_quality_not_assessed_here,,,True,0.95,958,good_text,0.819,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.8,7,22,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0007_0024150010_14041209_O_00404121722.txt,notebook_outputs/selected_samples_v6/json/0007_0024150010_14041209_O_00404121722.json,notebook_outputs/selected_samples_v6/source_previews/0007_0024150010_14041209_O_00404121722.png
8,0025631314_14041209_O_00404121726.pdf,samples/selected samples/0025631314_14041209_O_00404121726.pdf,.pdf,application/pdf,41.18,extracted_good,,pdf_quality_not_assessed_here,,,True,0.95,471,usable_noisy_text,0.547,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.6,7,4,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0008_0025631314_14041209_O_00404121726.txt,notebook_outputs/selected_samples_v6/json/0008_0025631314_14041209_O_00404121726.json,notebook_outputs/selected_samples_v6/source_previews/0008_0025631314_14041209_O_00404121726.png
9,0025692283_14041209_O_00404121730.pdf,samples/selected samples/0025692283_14041209_O_00404121730.pdf,.pdf,application/pdf,42.4,extracted_good,,pdf_quality_not_assessed_here,,,True,0.95,468,good_text,0.559,pdf_text_layer,pdf_text_layer,,True,1.0,lab,0.6,7,4,True,True,True,True,False,notebook_outputs/selected_samples_v6/texts/0009_0025692283_14041209_O_00404121730.txt,notebook_outputs/selected_samples_v6/json/0009_0025692283_14041209_O_00404121730.json,notebook_outputs/selected_samples_v6/source_previews/0009_0025692283_14041209_O_00404121730.png
10,20260427_181554.jpg,samples/selected samples/20260427_181554.jpg,.jpg,image/jpeg,42.47,needs_manual_review,missing_or_weak_common_fields,good_quality,0.746,,True,0.673,344,usable_noisy_text,0.435,image_ocr_variants,light_autocontrast_rot90,6.0,True,1.0,lab,1.0,2,6,False,False,False,False,True,notebook_outputs/selected_samples_v6/texts/0010_20260427_181554.txt,notebook_outputs/selected_samples_v6/json/0010_20260427_181554.json,notebook_outputs/selected_samples_v6/source_previews/0010_20260427_181554.png
